elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
23.313,edge1-edge1-mysql-1,0.40,376.3MiB,1GiB,36.75
23.452,edge1-edge1-minio-1,9.73,302.7MiB,2GiB,14.78
23.579,cloud_api_poc1,53.65,69.31MiB,2GiB,3.38
23.730,cloud_mysql_poc1,0.40,367.8MiB,512MiB,71.84
23.844,cloud_minio_poc1,6.25,281.9MiB,1GiB,27.53
23.985,edge3-edge3-api-1,109.53,340.1MiB,2.5GiB,13.28 
24.132,edge3-edge3-mysql-1,0.40,376.3MiB,1GiB,36.75 
24.286,edge3-edge3-minio-1,9.41,323.1MiB,2GiB,15.78 
24.420,edge2-edge2-api-1,81.97,321.2MiB,2.5GiB,12.55 
24.567,edge2-edge2-minio-1,6.69,291.1MiB,2GiB,14.21 
24.677,edge2-edge2-mysql-1,1.39,376.4MiB,1GiB,36.75 
24.802,edge1-edge1-api-1,88.01,369.1MiB,2.5GiB,14.42 
24.941,edge1-edge1-mysql-1,0.40,376.3MiB,1GiB,36.75 
25.070,edge1-edge1-minio-1,9.73,302.7MiB,2GiB,14.78 
25.195,cloud_api_poc1,53.65,69.31MiB,2GiB,3.38 
25.335,cloud_mysql_poc1,0.40,367.8MiB,512MiB,71.84 
25.466,cloud_minio_poc1,6.25,281.9MiB,1GiB,27.53 
25.586, ,,,,
25.709,edge3-edge3-api-1,105.02,352.1MiB,2.5GiB,13.76
25.870,edge3-edge3-mysql-1,1.37,376.3MiB,1GiB,36.75
25.993,edge3-edge3-minio-1,10.01,351.4MiB,2GiB,17.16
26.136,edge2-edge2-api-1,75.68,321.5MiB,2.5GiB,12.56
26.302,edge2-edge2-minio-1,6.21,318.9MiB,2GiB,15.57
26.471,edge2-edge2-mysql-1,0.48,376.4MiB,1GiB,36.75
26.598,edge1-edge1-api-1,75.21,368.7MiB,2.5GiB,14.40
26.717,edge1-edge1-mysql-1,0.40,376.3MiB,1GiB,36.75
26.833,edge1-edge1-minio-1,5.65,326.9MiB,2GiB,15.96
26.971,cloud_api_poc1,52.61,70.92MiB,2GiB,3.46
27.114,cloud_mysql_poc1,0.43,367.8MiB,512MiB,71.84
27.259,cloud_minio_poc1,6.45,305.5MiB,1GiB,29.83
27.424,edge3-edge3-api-1,105.02,352.1MiB,2.5GiB,13.76 
27.555,edge3-edge3-mysql-1,1.37,376.3MiB,1GiB,36.75 
27.702,edge3-edge3-minio-1,10.01,351.4MiB,2GiB,17.16 
27.884,edge2-edge2-api-1,75.68,321.5MiB,2.5GiB,12.56 
28.009,edge2-edge2-minio-1,6.21,318.9MiB,2GiB,15.57 
28.140,edge2-edge2-mysql-1,0.48,376.4MiB,1GiB,36.75 
28.332,edge1-edge1-api-1,75.21,368.7MiB,2.5GiB,14.40 
28.559,edge1-edge1-mysql-1,0.40,376.3MiB,1GiB,36.75 
28.723,edge1-edge1-minio-1,5.65,326.9MiB,2GiB,15.96 
28.873,cloud_api_poc1,52.61,70.92MiB,2GiB,3.46 
