elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
35.052,edge1-edge1-api-1,270.35,1.005GiB,9.5GiB,10.58 
35.188,edge1-edge1-mysql-1,0.46,380.8MiB,3.5GiB,10.62 
35.322,edge1-edge1-minio-1,29.98,421.5MiB,7GiB,5.88 
35.457, ,,,,
36.086,edge1-edge1-mysql-1,0.61,380.8MiB,3.5GiB,10.62 
36.214,edge1-edge1-minio-1,34.14,422.2MiB,7GiB,5.89 
36.348, ,,,,
36.489,edge1-edge1-api-1,311.11,1.01GiB,9.5GiB,10.63
37.068,edge1-edge1-minio-1,34.14,422.2MiB,7GiB,5.89 
37.191, ,,,,
37.316,edge1-edge1-api-1,337.64,1.022GiB,9.5GiB,10.76
37.444,edge1-edge1-mysql-1,0.65,380.8MiB,3.5GiB,10.62
38.082, ,,,,
38.219,edge1-edge1-api-1,337.64,1.022GiB,9.5GiB,10.76
38.353,edge1-edge1-mysql-1,0.65,380.8MiB,3.5GiB,10.62
38.476,edge1-edge1-minio-1,31.09,425.2MiB,7GiB,5.93
39.100,edge1-edge1-api-1,374.89,1.031GiB,9.5GiB,10.85
39.239,edge1-edge1-mysql-1,3.31,380.8MiB,3.5GiB,10.62
39.368,edge1-edge1-minio-1,41.15,427MiB,7GiB,5.96
39.884, ,,,,
40.022,edge1-edge1-api-1,374.89,1.031GiB,9.5GiB,10.85
40.134,edge1-edge1-mysql-1,3.31,380.8MiB,3.5GiB,10.62
40.271,edge1-edge1-minio-1,41.15,427MiB,7GiB,5.96
40.800, ,,,,
41.031,edge1-edge1-mysql-1,0.72,380.8MiB,3.5GiB,10.62
41.169,edge1-edge1-minio-1,39.35,444.6MiB,7GiB,6.20
41.289,edge1-edge1-api-1,373.85,1.041GiB,9.5GiB,10.96 
41.708, ,,,,
42.072,edge1-edge1-minio-1,39.35,444.6MiB,7GiB,6.20
42.208,edge1-edge1-api-1,373.85,1.041GiB,9.5GiB,10.96 
42.343,edge1-edge1-mysql-1,0.72,380.8MiB,3.5GiB,10.62 
42.581, ,,,,
43.038,edge1-edge1-api-1,371.93,1.047GiB,9.5GiB,11.03 
43.169,edge1-edge1-mysql-1,0.50,380.8MiB,3.5GiB,10.62 
43.285,edge1-edge1-minio-1,44.51,449.2MiB,7GiB,6.27 
43.423, ,,,,
44.044,edge1-edge1-mysql-1,0.50,380.8MiB,3.5GiB,10.62 
44.196,edge1-edge1-minio-1,44.51,449.2MiB,7GiB,6.27 
44.334, ,,,,
44.462,edge1-edge1-api-1,367.17,1.035GiB,9.5GiB,10.89
45.093,edge1-edge1-minio-1,36.26,447.9MiB,7GiB,6.25 
45.217, ,,,,
45.346,edge1-edge1-api-1,367.17,1.035GiB,9.5GiB,10.89
45.466,edge1-edge1-mysql-1,0.58,380.8MiB,3.5GiB,10.62
46.058, ,,,,
