elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
12.784,edge1-edge1-api-1,21.41,359.3MiB,2.5GiB,14.04
12.864,edge1-edge1-mysql-1,0.41,376.3MiB,1GiB,36.75
12.950,edge1-edge1-minio-1,1.62,242.6MiB,2GiB,11.85
13.027,cloud_api_poc1,22.70,60.69MiB,2GiB,2.96
13.104,cloud_mysql_poc1,0.37,367.8MiB,512MiB,71.84
13.185,cloud_minio_poc1,2.66,254.5MiB,1GiB,24.85
13.265,edge3-edge3-api-1,11.15,370.3MiB,2.5GiB,14.46 
13.344,edge3-edge3-minio-1,0.70,254.9MiB,2GiB,12.45 
13.431,edge3-edge3-mysql-1,0.49,376.3MiB,1GiB,36.75 
13.510,edge2-edge2-api-1,17.07,325.5MiB,2.5GiB,12.72 
13.588,edge2-edge2-mysql-1,0.35,376.4MiB,1GiB,36.75 
13.668,edge2-edge2-minio-1,1.10,236.3MiB,2GiB,11.54 
13.750,edge1-edge1-api-1,21.41,359.3MiB,2.5GiB,14.04 
13.830,edge1-edge1-mysql-1,0.41,376.3MiB,1GiB,36.75 
13.908,edge1-edge1-minio-1,1.62,242.6MiB,2GiB,11.85 
14.061,cloud_mysql_poc1,0.37,367.8MiB,512MiB,71.84 
14.143,cloud_minio_poc1,2.66,254.5MiB,1GiB,24.85 
14.223, ,,,,
14.300,edge3-edge3-api-1,11.15,370.3MiB,2.5GiB,14.46
14.377,edge3-edge3-minio-1,0.70,254.9MiB,2GiB,12.45
14.464,edge3-edge3-mysql-1,0.49,376.3MiB,1GiB,36.75
14.552,edge2-edge2-api-1,17.07,325.5MiB,2.5GiB,12.72
14.636,edge2-edge2-mysql-1,0.35,376.4MiB,1GiB,36.75
14.714,edge2-edge2-minio-1,1.10,236.3MiB,2GiB,11.54
14.793,edge1-edge1-api-1,21.41,359.3MiB,2.5GiB,14.04
14.870,edge1-edge1-mysql-1,0.41,376.3MiB,1GiB,36.75
14.954,edge1-edge1-minio-1,1.62,242.6MiB,2GiB,11.85
15.033,cloud_api_poc1,22.70,60.69MiB,2GiB,2.96
15.114,cloud_mysql_poc1,0.37,367.8MiB,512MiB,71.84
15.196,cloud_minio_poc1,2.66,254.5MiB,1GiB,24.85
15.275,edge3-edge3-api-1,11.15,370.3MiB,2.5GiB,14.46 
15.352,edge3-edge3-minio-1,0.70,254.9MiB,2GiB,12.45 
15.431,edge3-edge3-mysql-1,0.49,376.3MiB,1GiB,36.75 
15.514,edge2-edge2-api-1,17.07,325.5MiB,2.5GiB,12.72 
15.597,edge2-edge2-mysql-1,0.35,376.4MiB,1GiB,36.75 
15.676,edge2-edge2-minio-1,1.10,236.3MiB,2GiB,11.54 
15.761,edge1-edge1-api-1,21.41,359.3MiB,2.5GiB,14.04 
15.842,edge1-edge1-mysql-1,0.41,376.3MiB,1GiB,36.75 
15.928,edge1-edge1-minio-1,1.62,242.6MiB,2GiB,11.85 
16.007,cloud_api_poc1,22.70,60.69MiB,2GiB,2.96 
16.091,cloud_mysql_poc1,0.37,367.8MiB,512MiB,71.84 
16.171,cloud_minio_poc1,2.66,254.5MiB,1GiB,24.85 
16.255, ,,,,
16.338,edge3-edge3-api-1,16.63,371.6MiB,2.5GiB,14.52
16.419,edge3-edge3-minio-1,1.36,255MiB,2GiB,12.45
16.502,edge3-edge3-mysql-1,1.01,376.3MiB,1GiB,36.75
16.587,edge2-edge2-api-1,11.43,326.2MiB,2.5GiB,12.74
16.667,edge2-edge2-mysql-1,0.34,376.4MiB,1GiB,36.75
16.773,edge2-edge2-minio-1,0.56,240.3MiB,2GiB,11.73
16.862,edge1-edge1-api-1,20.00,362.1MiB,2.5GiB,14.14
16.943,edge1-edge1-mysql-1,0.32,376.3MiB,1GiB,36.75
17.028,edge1-edge1-minio-1,1.73,252.7MiB,2GiB,12.34
17.109,cloud_api_poc1,15.98,61.94MiB,2GiB,3.02
17.189,cloud_mysql_poc1,1.08,367.8MiB,512MiB,71.84
17.270,cloud_minio_poc1,2.17,266.6MiB,1GiB,26.04
17.391,edge3-edge3-api-1,16.63,371.6MiB,2.5GiB,14.52 
17.468,edge3-edge3-minio-1,1.36,255MiB,2GiB,12.45 
17.553,edge3-edge3-mysql-1,1.01,376.3MiB,1GiB,36.75 
17.668,edge2-edge2-api-1,11.43,326.2MiB,2.5GiB,12.74 
17.747,edge2-edge2-mysql-1,0.34,376.4MiB,1GiB,36.75 
17.825,edge2-edge2-minio-1,0.56,240.3MiB,2GiB,11.73 
17.907,edge1-edge1-api-1,20.00,362.1MiB,2.5GiB,14.14 
17.988,edge1-edge1-mysql-1,0.32,376.3MiB,1GiB,36.75 
18.061,edge1-edge1-minio-1,1.73,252.7MiB,2GiB,12.34 
18.142,cloud_api_poc1,15.98,61.94MiB,2GiB,3.02 
18.222,cloud_mysql_poc1,1.08,367.8MiB,512MiB,71.84 
18.308,cloud_minio_poc1,2.17,266.6MiB,1GiB,26.04 
18.390, ,,,,
18.467,edge3-edge3-api-1,16.63,371.6MiB,2.5GiB,14.52
18.548,edge3-edge3-minio-1,1.36,255MiB,2GiB,12.45
18.634,edge3-edge3-mysql-1,1.01,376.3MiB,1GiB,36.75
18.714,edge2-edge2-api-1,11.43,326.2MiB,2.5GiB,12.74
18.792,edge2-edge2-mysql-1,0.34,376.4MiB,1GiB,36.75
18.873,edge2-edge2-minio-1,0.56,240.3MiB,2GiB,11.73
18.953,edge1-edge1-api-1,20.00,362.1MiB,2.5GiB,14.14
19.032,edge1-edge1-mysql-1,0.32,376.3MiB,1GiB,36.75
19.124,edge1-edge1-minio-1,1.73,252.7MiB,2GiB,12.34
19.224,cloud_api_poc1,15.98,61.94MiB,2GiB,3.02
19.307,cloud_mysql_poc1,1.08,367.8MiB,512MiB,71.84
19.389,cloud_minio_poc1,2.17,266.6MiB,1GiB,26.04
19.469,edge3-edge3-api-1,16.63,371.6MiB,2.5GiB,14.52 
19.550,edge3-edge3-minio-1,1.36,255MiB,2GiB,12.45 
19.630,edge3-edge3-mysql-1,1.01,376.3MiB,1GiB,36.75 
19.718,edge2-edge2-api-1,11.43,326.2MiB,2.5GiB,12.74 
19.797,edge2-edge2-mysql-1,0.34,376.4MiB,1GiB,36.75 
19.874,edge2-edge2-minio-1,0.56,240.3MiB,2GiB,11.73 
19.957,edge1-edge1-api-1,20.00,362.1MiB,2.5GiB,14.14 
20.037,edge1-edge1-mysql-1,0.32,376.3MiB,1GiB,36.75 
20.113,edge1-edge1-minio-1,1.73,252.7MiB,2GiB,12.34 
20.194,cloud_api_poc1,15.98,61.94MiB,2GiB,3.02 
20.275,cloud_mysql_poc1,1.08,367.8MiB,512MiB,71.84 
20.355,cloud_minio_poc1,2.17,266.6MiB,1GiB,26.04 
20.434, ,,,,
20.519,edge3-edge3-api-1,13.92,372.6MiB,2.5GiB,14.55
20.597,edge3-edge3-minio-1,0.98,255MiB,2GiB,12.45
20.677,edge3-edge3-mysql-1,0.39,376.3MiB,1GiB,36.75
20.763,edge2-edge2-api-1,12.82,325.8MiB,2.5GiB,12.73
20.838,edge2-edge2-mysql-1,0.30,376.3MiB,1GiB,36.75
20.918,edge2-edge2-minio-1,0.96,246.4MiB,2GiB,12.03
20.998,edge1-edge1-api-1,20.64,362.4MiB,2.5GiB,14.16
21.080,edge1-edge1-mysql-1,0.98,376.3MiB,1GiB,36.75
21.161,edge1-edge1-minio-1,1.90,264.8MiB,2GiB,12.93
21.241,cloud_api_poc1,16.89,62.26MiB,2GiB,3.04
21.322,cloud_mysql_poc1,0.30,367.8MiB,512MiB,71.84
21.403,cloud_minio_poc1,1.73,276.7MiB,1GiB,27.02
21.485,edge3-edge3-api-1,13.92,372.6MiB,2.5GiB,14.55 
21.565,edge3-edge3-minio-1,0.98,255MiB,2GiB,12.45 
21.651,edge3-edge3-mysql-1,0.39,376.3MiB,1GiB,36.75 
21.741,edge2-edge2-api-1,12.82,325.8MiB,2.5GiB,12.73 
21.826,edge2-edge2-mysql-1,0.30,376.3MiB,1GiB,36.75 
21.905,edge2-edge2-minio-1,0.96,246.4MiB,2GiB,12.03 
21.980,edge1-edge1-api-1,20.64,362.4MiB,2.5GiB,14.16 
22.061,edge1-edge1-mysql-1,0.98,376.3MiB,1GiB,36.75 
22.143,edge1-edge1-minio-1,1.90,264.8MiB,2GiB,12.93 
22.218,cloud_api_poc1,16.89,62.26MiB,2GiB,3.04 
22.298,cloud_mysql_poc1,0.30,367.8MiB,512MiB,71.84 
22.380,cloud_minio_poc1,1.73,276.7MiB,1GiB,27.02 
22.460, ,,,,
22.542,edge3-edge3-api-1,13.92,372.6MiB,2.5GiB,14.55
22.627,edge3-edge3-minio-1,0.98,255MiB,2GiB,12.45
22.707,edge3-edge3-mysql-1,0.39,376.3MiB,1GiB,36.75
22.787,edge2-edge2-api-1,12.82,325.8MiB,2.5GiB,12.73
22.870,edge2-edge2-mysql-1,0.30,376.3MiB,1GiB,36.75
22.955,edge2-edge2-minio-1,0.96,246.4MiB,2GiB,12.03
23.040,edge1-edge1-api-1,20.64,362.4MiB,2.5GiB,14.16
23.120,edge1-edge1-mysql-1,0.98,376.3MiB,1GiB,36.75
23.198,edge1-edge1-minio-1,1.90,264.8MiB,2GiB,12.93
23.277,cloud_api_poc1,16.89,62.26MiB,2GiB,3.04
23.356,cloud_mysql_poc1,0.30,367.8MiB,512MiB,71.84
23.438,cloud_minio_poc1,1.73,276.7MiB,1GiB,27.02
23.516,edge3-edge3-api-1,13.92,372.6MiB,2.5GiB,14.55 
23.595,edge3-edge3-minio-1,0.98,255MiB,2GiB,12.45 
23.679,edge3-edge3-mysql-1,0.39,376.3MiB,1GiB,36.75 
23.765,edge2-edge2-api-1,12.82,325.8MiB,2.5GiB,12.73 
23.845,edge2-edge2-mysql-1,0.30,376.3MiB,1GiB,36.75 
23.928,edge2-edge2-minio-1,0.96,246.4MiB,2GiB,12.03 
24.010,edge1-edge1-api-1,20.64,362.4MiB,2.5GiB,14.16 
24.093,edge1-edge1-mysql-1,0.98,376.3MiB,1GiB,36.75 
24.169,edge1-edge1-minio-1,1.90,264.8MiB,2GiB,12.93 
24.251,cloud_api_poc1,16.89,62.26MiB,2GiB,3.04 
